mic1,mic2,mic3,mic4
178,32,-22,-536
190,62,2,-556
172,80,-30,-522
192,72,-16,-590
190,40,-24,-554
190,58,-26,-612
178,74,-4,-588
190,84,-20,-556
154,72,-16,-602
162,84,-48,-532
162,104,-12,-606
172,78,-18,-594
178,102,-16,-476
168,92,-34,-610
156,90,-12,-522
130,54,-54,-574
158,82,-20,-440
130,74,-22,-496
122,56,-16,-472
132,44,-46,-534
102,54,-34,-546
132,68,-52,-568
102,54,-60,-486
106,100,-48,-502
116,86,-30,-594
118,44,-44,-478
122,100,-72,-608
112,100,-22,-416
116,84,-46,-606
140,74,-18,-604
108,72,-26,-590
136,68,-44,-584
116,80,-46,-540
72,48,-60,-502
84,86,-12,-468
68,72,-44,-596
54,82,-44,-528
66,60,-48,-570
56,52,-46,-584
40,82,-76,-504
76,66,-30,-610
56,44,-76,-586
42,62,-56,-592
66,44,-56,-580
20,78,-64,-540
38,42,-62,-480
38,88,-84,-556
16,42,-50,-632
42,80,-52,-682
30,42,-66,-832
24,32,-40,-800
-20,30,-38,-972
-34,28,-44,-1202
-16,36,-80,-1308
-44,-2,-58,-364
-58,42,-90,-550
-36,42,-84,-2572
-118,-32,-80,-26
-120,-2,-110,404
-128,-18,-104,-454
-136,-50,-118,818
-6,-80,-130,-1448
-568,-160,-138,-530
202,-134,-170,-1206
172,-58,-212,-1166
-96,98,-206,-846
-272,256,-138,-3278
-128,56,-52,394
-84,186,-54,792
-82,76,-26,-3598
-2568,-28,62,9924
1002,8,-126,-7174
-2158,-188,-48,6260
-1230,-78,-184,2688
-1214,-94,-192,-1488
-2306,-356,86,-228
1174,60,-840,-6580
2386,-466,-1354,-3642
840,198,-554,-4358
1178,1174,-222,-474
-440,-580,-1410,1238
-1258,1508,-1034,3660
-1678,-188,1064,2694
-1700,1096,2084,3648
-708,-422,418,1498
-58,-1384,1064,-518
2136,-1086,-162,-1162
1726,-1572,-1400,-3460
2040,-722,-882,-2810
874,160,-2328,-1618
